كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0455,تسريب كبير في نظام EVAP,خرطوم تانك / غطاء تانك,"600 - 1,800",1.5,"600 - 1,200",RepairPal,,,,,,
B0028,عطل ستارة هوائية جانبية (يمين),ايرباج الستارة,"4,000 - 9,000",3,"1,500 - 3,000",RepairPal,,,,,,
P0401,تدفق EGR غير كافٍ,تنظيف مسارات الصمام,---,2,"1,000 - 1,800",RepairPal,,,,,,
P0133,استجابة بطيئة حساس أوكسجين,حساس أوكسجين أمامي,"3,500 - 6,000",1,500 - 800,RepairPal,,,,,,
P2135,عدم توافق حساسات البوابة,بوابة هواء كاملة,"6,500 - 12,000",1,"700 - 1,200",RepairPal,,,,,,
P0563,ارتفاع جهد النظام,منظم دينامو / كتاوت,"1,800 - 4,500",1,500 - 900,RepairPal,,,,,,
P0117,دخل منخفض حساس الحرارة,حساس مياه,"600 - 1,400",0.5,300 - 500,RepairPal,,,,,,
P0710,عطل حساس حرارة زيت الفتيس,حساس ATF Temp,"2,500 - 5,500",2,"1,000 - 2,000",RepairPal,,,,,,
P0450,عطل حساس ضغط التبخير,حساس ضغط التانك,"2,200 - 4,500",1.5,"800 - 1,400",RepairPal,,,,,,
P0411,تدفق هواء ثانوي غير صحيح,طلمبة هواء,"5,500 - 11,000",2,"1,000 - 1,800",RepairPal,,,,,,
P0353,عطل ملف الإشعال (C),موبينة اسطوانة 3,"1,500 - 3,500",0.5,300 - 500,RepairPal,,,,,,
P2400,عطل مضخة كشف التسريب,طلمبة EVAP,"4,000 - 8,500",2,"1,000 - 1,800",RepairPal,,,,,,
P0219,حالة تخطي أقصى سرعة محرك,فحص ميكانيكي شامل,---,2,"1,000 - 2,500",RepairPal,,,,,,
P0A1D,عطل كنترول المولد الهجين,صيانة Hybrid Control,"18,000 - 45,000",3.5,"4,000 - 8,000",RepairPal,,,,,,
P0322,انعدام إشارة سرعة المحرك,حساس كرنك / كامة,"1,800 - 3,800",1,"600 - 1,100",RepairPal,,,,,,
P0420,كفاءة المحول الحفزي منخفضة,علبة بيئة,"10,000 - 35,000",2,"1,200 - 2,500",RepairPal,,,,,,
P0456,تسريب ضئيل (EVAP),فحص وصلات / غطاء تانك,"600 - 2,000",1.5,"700 - 1,200",RepairPal,,,,,,
P0351,عطل ملف الإشعال 1,موبينة,"1,600 - 3,800",0.5,250 - 400,RepairPal,,,,,,
P0507,سرعة الأيدل مرتفعة جداً,تنظيف بوابة / ايدل,600 (منظف),1,"500 - 1,000",RepairPal,,,,,,
P0520,عطل حساس ضغط الزيت,حساس زيت المحرك,"1,000 - 2,800",1,500 - 800,RepairPal,,,,,,
P0441,تدفق تطهير غير صحيح,صمام كانستر,"1,600 - 3,500",1,500 - 900,RepairPal,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"2,400 - 5,000",1.5,"800 - 1,500",RepairPal,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"1,800 - 4,000",1,"600 - 1,100",RepairPal,,,,,,
P0411,تدفق هواء ثانوي خطأ,طلمبة هواء,"6,000 - 12,000",2,"1,200 - 2,200",RepairPal,,,,,,
P0452,دخل منخفض حساس الضغط,حساس ضغط التانك,"2,500 - 5,500",1.5,"800 - 1,500",RepairPal,,,,,,
P0336,مدى أداء حساس الكرنك,حساس كرنك,"1,600 - 3,800",1.5,"800 - 1,400",RepairPal,,,,,,
B2290,عطل حساس تصنيف الراكب,حساس وزن الكرسي,"3,000 - 7,000",2,"800 - 1,500",RepairPal,,,,,,
P0641,"انقطاع جهد المرجع ""A""",فحص شورت في الضفيرة,---,3,"1,500 - 3,500",RepairPal,,,,,,
B1884,لمبة إيرباج الراكب (مقطوعة),تغيير ليد / اصلاح بوردة,"500 - 1,500",1.5,"600 - 1,200",RepairPal,,,,,,
U0121,فقد الاتصال مع ABS,فحص فيشة الكنترول,---,1.5,"800 - 1,800",RepairPal,,,,,,
P0741,عطل بلف محول العزم,سولينويد TCC,"4,500 - 9,500",3,"2,000 - 4,000",RepairPal,,,,,,
P0171,خليط فقير جداً (B1),ماف / طلمبة / رشاش,"3,500 - 7,000",1.5,"700 - 1,300",RepairPal,,,,,,
P0101,مدى حساس الهواء MAF,حساس هواء,"3,500 - 7,500",0.5,300 - 600,RepairPal,,,,,,
B1932,مقاومة وسادة السائق عالية,شريط إيرباج,"1,800 - 4,500",1.5,"600 - 1,100",RepairPal,,,,,,
P0744,إشارة متقطعة TCC,ضفيرة فتيس / سولينويد,"3,500 - 7,000",2,"1,200 - 2,200",RepairPal,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,500 - 3,500",0.5,300 - 500,RepairPal,,,,,,
C1252,عطل موتور مضخة الفرامل,طلمبة ABS,"15,000 - 40,000",3,"2,500 - 5,000",RepairPal,,,,,,
P2119,أداء خانق البوابة,تنظيف أو تغيير بوابة,"5,500 - 12,000",1,"700 - 1,200",RepairPal,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,500 - 3,500",0.5,300 - 500,RepairPal,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"4,000 - 7,000",1,"600 - 1,000",RepairPal,,,,,,
P0234,حالة شحن زائد للتيربو,صمام هدر جيت (Wastegate),"4,500 - 9,500",2,"1,000 - 2,000",RepairPal,,,,,,
P0420,كفاءة المحفز تحت الحد (B1),علبة بيئة (Catalyst),"15,000 - 45,000",2,"1,500 - 3,000",RepairPal,,,,,,
P0219,حالة تخطي سرعة المحرك,فحص ميكانيكا وصمامات,---,3,"2,000 - 5,000",RepairPal,,,,,,
U0100,فقد الاتصال بكنترول المحرك,فحص ضفيرة (CAN-bus),---,3,"2,000 - 5,000",RepairPal,,,,,,
P0606,عطل معالج الكنترول,تغيير أو صيانة ECU,"8,000 - 25,000",2,"2,500 - 5,000",RepairPal,,,,,,
P0507,سرعة الخمول مرتفعة جداً,تنظيف بوابة / برمجة,600 (منظف),1,"600 - 1,200",RepairPal,,,,,,
P0520,عطل حساس ضغط الزيت,حساس زيت,"1,100 - 2,800",1,500 - 800,RepairPal,,,,,,
B1650,عطل حساس وزن الراكب,حساس الكرسي,"3,000 - 6,500",2,"1,000 - 2,000",RepairPal,,,,,,
C1252,عطل موتور مضخة الفرامل,طلمبة ABS,"18,000 - 45,000",3,"3,000 - 6,000",RepairPal,,,,,,
C1203,خطأ في بيانات الـ ABS,إعادة برمجة وحدة ABS,---,2,"2,000 - 4,000",RepairPal,,,,,,
B10A2,عطل في حساس التصادم الجانبي,حساس إيرباج جانبي,"3,500 - 8,000",1.5,"1,000 - 2,000",RepairPal,,,,,,
P0420,كفاءة علبة البيئة منخفضة,دبة الشكمان / حساس,"15,000 - 50,000",2.5,"2,000 - 4,000",RepairPal,,,,,,
P0606,عطل معالج PCM,صيانة كنترول,"8,000 - 25,000",2,"3,000 - 6,000",RepairPal,,,,,,
B1650,عطل حساس وزن الراكب,حساس الكرسي الأمامي,"3,500 - 7,500",2,"1,500 - 3,000",RepairPal,,,,,,
P0420,لمبة الأعطال (ضعف سحب),علبة البيئة (Catalyst),"15,000 - 45,000",2,"1,500 - 3,000",RepairPal,,,,,,
Mechanical,زيت محرك مختلط بمياه,جوان وش السلندر,"2,500 - 6,000",8,"5,000 - 10,000",RepairPal,,,,,,
P0301,غيبوبة حريق (اسطوانة 1),موبينة (Ignition Coil),"1,200 - 3,500",0.5,150 - 250,إي-زي بارتس,,,,,,
P0101,مشكلة حساس تدفق الهواء,حساس الماف (MAF),"2,500 - 6,500",0.5,200 - 350,إي-زي بارتس,,,,,,
P0135,عطل تسخين حساس الشكمان,حساس أوكسجين (أمامي),"2,500 - 4,800",0.8,300 - 500,إي-زي بارتس,,,,,,
P0230,عطل دائرة طلمبة البنزين,طلمبة بنزين كاملة,"3,500 - 7,500",1.5,500 - 900,إي-زي بارتس,,,,,,
P0011,تأخر توقيت الكامة (VVT),صمام VVT (سولينويد),"2,200 - 4,500",1,400 - 700,إي-زي بارتس,,,,,,
P0130,عطل دائرة حساس الأكسجين,حساس شكمان 1,"2,800 - 5,000",1,300 - 500,إي-زي بارتس,,,,,,
P0102,انخفاض إشارة حساس الماف,حساس MAF,"2,200 - 4,800",0.5,200 - 350,إي-زي بارتس,,,,,,
P0106,عطل حساس ضغط المانيفولد,حساس ماب (MAP),"1,400 - 2,800",0.5,200 - 400,إي-زي بارتس,,,,,,
P0118,جهد مرتفع حساس الحرارة,فيشة حساس / حساس,"450 - 1,000",0.5,150 - 300,إي-زي بارتس,,,,,,
P0122,انخفاض جهد حساس البوابة,حساس TPS,"1,200 - 2,500",0.8,250 - 450,إي-زي بارتس,,,,,,
P0501,عطل حساس السرعة (A),حساس سرعة (VSS),"950 - 1,900",1,300 - 500,إي-زي بارتس,,,,,,
P0336,أداء حساس الكرنك,حساس كرنك,"1,200 - 2,800",1.5,500 - 800,إي-زي بارتس,,,,,,
P0111,أداء حساس هواء الدخول,حساس IAT,"1,200 - 2,600",0.5,200 - 350,إي-زي بارتس,,,,,,
P0202,عطل دائرة الرشاش (2),رشاش بنزين,"1,500 - 3,800",1.5,400 - 700,إي-زي بارتس,,,,,,
P0138,جهد مرتفع حساس شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,500",1,300 - 500,إي-زي بارتس,,,,,,
P0112,انخفاض إشارة حساس الهواء,حساس IAT,"1,200 - 2,500",0.5,200 - 350,إي-زي بارتس,,,,,,
P0014,تقديم توقيت الكامة (Exhaust),صمام VVT Solenoid,"2,200 - 4,800",1,400 - 700,إي-زي بارتس,,,,,,
P0341,عدم توافق حساس الكامة,حساس كامة / تقسيمة,"1,500 - 3,500",1.5,"500 - 1,000",إي-زي بارتس,,,,,,
P0133,استجابة بطيئة حساس شكمان,حساس أوكسجين,"2,800 - 5,000",1,300 - 500,إي-زي بارتس,,,,,,
P0328,جهد مرتفع حساس الخبط,حساس Knock,"1,600 - 3,500",2,"700 - 1,200",إي-زي بارتس,,,,,,
P0120,عطل دائرة حساس البوابة,حساس TPS,"1,200 - 2,800",0.8,300 - 500,إي-زي بارتس,,,,,,
P0087,ضغط مسطرة الوقود منخفض,طلمبة بنزين ضغط عالي,"8,000 - 18,000",2,"800 - 1,500",إي-زي بارتس,,,,,,
P2135,عدم توافق حساسات البوابة,بوابة كهرباء كاملة,"4,500 - 9,500",1,500 - 800,إي-زي بارتس,,,,,,
C0040,عطل حساس ABS (يمين),حساس ABS أمامى,"1,200 - 2,800",1,300 - 500,إي-زي بارتس,,,,,,
P0451,أداء حساس ضغط EVAP,حساس ضغط الخزان,"2,200 - 4,800",1.5,"600 - 1,000",إي-زي بارتس,,,,,,
P0203,عطل دائرة الرشاش (3),رشاش وقود,"1,500 - 3,800",1.5,400 - 700,إي-زي بارتس,,,,,,
P0100,عطل عام في دائرة الماف,حساس MAF,"2,500 - 5,500",0.5,200 - 350,إي-زي بارتس,,,,,,
P0461,مدى أداء حساس مستوى الوقود,عوامة بنزين,"1,200 - 2,800",1,400 - 600,إي-زي بارتس,,,,,,
P1135,عطل سخان حساس شكمان 1,حساس أوكسجين (معدل),"3,000 - 5,500",1,400 - 600,إي-زي بارتس,,,,,,
P0453,دخل مرتفع حساس EVAP,حساس ضغط التانك,"1,900 - 4,200",1.5,600 - 900,إي-زي بارتس,,,,,,
P0036,عطل سخان حساس شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,800",1,300 - 500,إي-زي بارتس,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"3,000+",إي-زي بارتس,,,,,,
P0551,مدى أداء حساس الباور,حساس زيت الباور,"700 - 1,800",1,300 - 500,إي-زي بارتس,,,,,,
P0216,عطل تحكم توقيت الحقن,طلمبة ديزل / رشاشات,"15,000+",4,"3,000+",إي-زي بارتس,,,,,,
P0734,غيار رابع غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"3,500+",إي-زي بارتس,,,,,,
P0735,غيار خامس غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"4,000+",إي-زي بارتس,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"1,800 - 4,000",1.5,500 - 900,إي-زي بارتس,,,,,,
P0401,تدفق EGR غير كاف,تنظيف/تغيير صمام EGR,"3,200 - 6,000",1.5,600 - 900,إي-زي بارتس,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,300 - 2,900",1.5,500 - 900,إي-زي بارتس,,,,,,
P1250,عطل صمام منظم ضغط الوقود,بلف ضغط المسطرة,"2,500 - 5,000",1,400 - 700,إي-زي بارتس,,,,,,
P0300,ميس فاير عشوائى,بوجيهات / سلك بوجيهات,"900 - 2,500",1,300 - 500,إي-زي بارتس,,,,,,
P2195,حساس شكمان علق (Lean),حساس أوكسجين,"2,900 - 5,500",1,400 - 600,إي-زي بارتس,,,,,,
P0235,عطل حساس بوست التيربو,حساس Turbo Boost,"1,800 - 3,500",1,400 - 700,إي-زي بارتس,,,,,,
P2100,انقطاع دائرة موتور البوابة,بوابة كهرباء كاملة,"4,500 - 10,000",1,500 - 800,إي-زي بارتس,,,,,,
P0380,عطل دائرة شمعات التسخين,طقم سخانات (ديزل),"2,000 - 5,500",2,"600 - 1,200",إي-زي بارتس,,,,,,
P2122,انخفاض دخل حساس الدعسة,حساس دواسة بنزين,"3,000 - 6,500",1,400 - 700,إي-زي بارتس,,,,,,
P0502,انخفاض دخل حساس السرعة,حساس VSS,"900 - 2,200",1,300 - 500,إي-زي بارتس,,,,,,
P0031,جهد منخفض سخان (1/1),حساس شكمان أمامي,"2,800 - 5,200",1,300 - 500,إي-زي بارتس,,,,,,
P0455,تسريب كبير بنظام EVAP,خرطوم تانك / غطاء,"600 - 1,800",1.5,500 - 900,إي-زي بارتس,,,,,,
P0010,عطل مشغل الكامة (A),صمام VVT,"2,200 - 4,800",1,400 - 700,إي-زي بارتس,,,,,,
P0500,عطل حساس السرعة,حساس VSS,"900 - 2,100",1,300 - 500,إي-زي بارتس,,,,,,
P0037,جهد منخفض سخان (1/2),حساس شكمان خلفي,"2,400 - 4,600",1,300 - 500,إي-زي بارتس,,,,,,
P0442,تسريب بسيط EVAP,فحص وصلات وقود,---,1.5,"600 - 1,000",إي-زي بارتس,,,,,,
P0030,دائرة سخان (Bank 1),حساس أوكسجين,"2,800 - 5,000",1,300 - 500,إي-زي بارتس,,,,,,
P0443,عطل صمام تطهير EVAP,صمام Purge,"1,200 - 2,800",1,300 - 500,إي-زي بارتس,,,,,,
P0011,توقيت كامة متقدم (A),زيت محرك / بلف VVT,"1,500 - 4,500",1,400 - 700,إي-زي بارتس,,,,,,
P0460,عطل حساس مستوى الوقود,عوامة بنزين,"1,200 - 2,900",1,400 - 600,إي-زي بارتس,,,,,,
P0122,انخفاض دخل حساس TPS,حساس بوابة,"1,200 - 2,600",0.8,300 - 500,إي-زي بارتس,,,,,,
P0740,عطل دائرة TCC (الفتيس),زيت فتيس / سولينويد,"3,000 - 7,000",2,"800 - 1,500",إي-زي بارتس,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,200 - 2,800",0.5,150 - 300,إي-زي بارتس,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"3,200 - 5,800",1,400 - 600,إي-زي بارتس,,,,,,
P0505,عطل نظام الأيدل,صمام الأيدل,"1,600 - 3,800",1,400 - 600,إي-زي بارتس,,,,,,
P0032,جهد مرتفع سخان (1/1),حساس شكمان,"2,900 - 5,400",1,300 - 500,إي-زي بارتس,,,,,,
P0520,عطل حساس ضغط الزيت,حساس زيت,"800 - 2,200",1,300 - 500,إي-زي بارتس,,,,,,
P0012,تأخر توقيت الكامة (A),زيت / بلف VVT,"1,500 - 4,000",1,400 - 600,إي-زي بارتس,,,,,,
P0601,خطأ بذاكرة الكنترول,شحن سوفت وير,"3,000 - 8,000",2,"1,500 - 3,000",إي-زي بارتس,,,,,,
P0051,جهد منخفض سخان (B2/S1),حساس أوكسجين,"3,200 - 5,500",1,400 - 600,إي-زي بارتس,,,,,,
P0087,ضغط وقود منخفض جداً,طلمبة بنزين (HPFP),"9,000 - 18,000",2.5,"1,000 - 1,800",إي-زي بارتس,,,,,,
P0449,عطل صمام تنفيس EVAP,بلف كانستر (Vent),"1,800 - 3,500",1,400 - 700,إي-زي بارتس,,,,,,
P2135,عدم توافق فولتية البوابة,بوابة كهرباء (Throttle),"4,500 - 9,500",1,600 - 900,إي-زي بارتس,,,,,,
P0014,توقيت كامة العادم متقدم,بلف VVT (Exhaust),"2,400 - 4,800",1,400 - 700,إي-زي بارتس,,,,,,
P0706,عطل مدى حساس الناقل,سلكتور فتيس (TR),"2,800 - 6,500",1.5,"600 - 1,200",إي-زي بارتس,,,,,,
P0203,عطل دائرة الرشاش 3,رشاش بنزين,"1,600 - 3,800",1.5,500 - 800,إي-زي بارتس,,,,,,
P0740,عطل دائرة محول العزم,سولينويد TCC / زيت,"3,200 - 7,500",2.5,"1,000 - 2,000",إي-زي بارتس,,,,,,
P0128,حرارة المحرك غير كافية,ثرموستات كوعة,"900 - 2,200",1.5,500 - 800,إي-زي بارتس,,,,,,
